headword,level,toefl,ielts
billiards,C1,0,0
billion,B2,1,1
bin,B1,1,0
binary,C1,1,0
bind,B2,1,0
binding,B1,0,1
bio,B2,0,0
biochemistry,B1,0,0
biodiversity,C1,1,0
biographer,B2,1,1
biography,B1,1,1
biological,B2,1,0
biologist,C1,1,1
biology,B1,1,1
biotechnology,B2,0,0
bipedal,C2,1,0
bird,A1,1,1
birdcage,B2,0,0
birth,A1,1,1
birthday,A1,1,1
birthplace,B2,0,1
biscuit,A1,0,1
bishop,B1,0,1
bison,B2,1,0
bit,A2,0,1
bite,A2,1,1
bitter,B1,1,1
bitterly,B2,0,1
bitterness,B2,1,1
bizarre,B2,1,0
black,A1,0,1
blackboard,A2,0,1
blacksmith,C1,1,1
blade,B2,1,1
blame,B1,1,1
blandishment,C2,0,0
blank,A1,1,1
blanket,A2,1,1
blankness,C1,0,0
blast,B2,1,1
blaze,B2,1,1
blazing,B2,1,0
bleach,C1,1,1
bleak,B2,1,0
bleed,B1,1,1
blend,B2,1,1
bless,B1,1,1
blessing,B1,1,1
blight,C2,1,0
blind,B1,1,1
blindly,B2,0,0
blindness,B2,0,0
blink,B2,1,1
bliss,C1,0,0
blister,C1,0,0
blithely,C1,0,0
blitz,C2,0,0
block,A1,1,1
blockage,C1,0,1
blockbuster,C1,0,0
blog,B1,0,0
blogger,B1,0,0
blond,C1,0,1
blonde,A2,0,0
blood,A2,1,1
bloodstream,B2,0,0
bloody,B2,1,1
bloom,A2,1,1
blooming,B2,0,0
blossom,B2,1,1
blot,C1,0,1
blouse,A1,0,1
blow,A2,1,1
blubber,C2,0,0
blubbery,C2,0,0
blue,A1,1,1
blunder,C1,0,1
blunt,C2,1,1
blur,B2,1,0
blurb,C2,0,0
blurt,B2,0,0
blush,B1,1,1
board,A1,1,1
board game,A2,0,0
boarding,B2,0,1
boast,B1,1,1
boat,A1,1,1
bodily,B2,1,0
body,A1,0,1
bodyguard,C1,0,1
bogus,C2,0,0
boil,A2,1,1
boiled,A2,0,0
boiler,B2,0,1
boiling,B2,0,1
bold,B1,1,1
boldly,B1,0,0
boldness,C1,0,1
bolt,B2,0,1
bomb,B1,1,1
bombard,B2,1,0
bomber,B2,0,1
bombing,B2,0,0
bona fide,C2,0,0
bond,B1,1,1
bonded,B2,0,1
bone,A1,1,1
bonus,A2,1,1
bony,B2,0,1
book,A1,0,1
bookcase,A2,0,1
booking,B1,0,1
bookish,B2,0,0
booklet,B2,0,1
bookmark,B2,0,0
bookshelf,A2,0,1
bookshop,A2,0,1
bookstore,A1,0,0
boom,B1,1,1
booming,C1,0,1
boost,B2,1,1
boot,B1,1,1
booth,B2,0,1
border,B1,1,1
bore,B1,1,1
bored,A2,0,0
boredom,B1,0,0
boring,A1,0,1
born,C2,0,1
borrow,A1,1,1
borrowing,B2,0,1
bosom,B2,1,1
boss,A2,1,1
bossy,B2,0,1
botanical,B2,1,0
botany,B2,1,0
both,A1,0,1
bother,B1,1,1
bothered,B2,0,0
bothersome,B2,0,0
bottle,A1,1,1
bottom,A1,1,1
bough,C1,0,1
boulder,B2,1,0
bounce,B2,1,1
bound,B1,1,1
boundary,C1,1,1
bouquet,C1,1,0
bourbon,B2,0,0
bourgeois,B2,0,1
bout,C2,0,0
bow,B1,1,1
bowl,A1,1,1
bowling,C1,0,1
box,A1,1,1
boxer,B2,0,1
boxing,B1,0,1
boy,A1,1,1
boycott,C1,1,1
boyfriend,A1,0,0
bra,A2,0,0
brace,C1,1,1
bracelet,B1,0,0
bracket,B2,1,1
brag,B2,0,1
brain,A1,1,1
brainstorm,A2,0,0
brainstorming,B1,0,0
brainwash,C1,0,0
brainwashing,C1,0,0
brake,A2,0,1
branch,A2,1,1
brand,A2,1,1
brand-new,B1,0,0
brandish,C2,1,0
brandy,B2,0,1
brass,B1,1,1
brave,A2,0,1
bravely,B1,0,1
bravery,B2,0,1
brazilian,B2,0,1
breach,B2,1,1
bread,A1,1,1
breadth,C2,0,1
breadwinner,C2,0,0
break,A2,0,1
breakable,B2,0,0
breakage,C1,0,1
breakdown,B2,1,1
breakfast,A1,1,1
breakthrough,B1,1,1
breakup,B2,1,0
breast,B1,1,1
breath,B1,1,1
breathe,A1,1,1
breathless,B1,1,0
breathtaking,B2,1,0
breed,B2,1,1
breeding,B1,0,0
breeze,A2,1,1
breezy,B2,0,0
brevity,C2,1,0
brewery,B2,0,0
bribe,C1,0,1
bribery,C1,0,1
brick,B1,1,1
bride,A2,0,1
bridegroom,C1,0,1
bridge,A1,1,1
bridle,C1,1,1
brief,B1,1,1
briefing,B2,0,1
briefly,B1,1,1
bright,A1,1,1
brighten,C1,1,1
brightly,B1,0,0
brightness,B2,0,1
brilliance,B2,1,1
brilliant,A2,1,1
brilliantly,B2,0,0
brim,C2,1,1
brimstone,C2,1,0
bring,A1,0,1
brink,C2,0,1
brisk,B2,1,1
bristle,C1,1,1
British,A2,0,1
brittle,B2,1,1
broad,B1,1,1
broadband,B2,0,0
broadcast,B1,1,1
broadcaster,B2,0,0
broaden,B2,1,1
broadly,B2,1,0
broccoli,B1,0,0
brochure,B2,1,1
broken,A1,0,1
broker,B2,0,1
bronze,B1,1,1
brood,C2,0,1
brook,C1,1,1
broom,C1,0,1
brother,A1,1,1
brother-in-law,B2,0,0
brotherhood,B1,1,1
brouhaha,C2,0,0
brow,B2,0,1
brown,A1,1,1
browse,B2,0,0
browser,B2,0,0
bruise,B2,0,1
brush,A1,1,1
brutal,C1,0,1
brute,B2,0,1
bubble,B1,1,1
bubbly,C1,0,0
buccaneer,C2,0,0
